"Compounds","SMILES","Molecular Weight (Da)","LogP","Fraction SP3","Heavy Atom Count","N/O Count","NH/OH Count","Aliphatic Carbocycles","Aliphatic Heterocycles","Aliphatic Rings","Aromatic Carbocycles","Aromatic Heterocycles","Aromatic Rings","Hydrogen Bond Acceptors","Hydrogen Bond Donors","Heteroatoms","Rotatable Bonds","Saturated Carbocycles","Saturated Heterocycles","Saturated Rings","Total Rings"
"MAC_0408673","C1(N(C2=CC(C(F)(F)F)=CC=C2)C(=O)C)=NC(C=CC(=O)O)=CS1",356.325,3.9443,0.133333333333333,24,5,1,0,0,0,1,1,2,4,1,9,4,0,0,0,2
"MAC_0440199","C1(O)=C(OC)C=C(C(OCC(NCC(N(C)C)=O)=O)=O)C=C1Cl",344.751,0.4154,0.357142857142857,23,8,2,0,0,0,1,0,1,6,2,9,6,0,0,0,1
"MAC_0440523","N1(C2=CC=C(C(N3CCN(CC(NC4CC4)=O)CC3)=O)C=C2)N=NN=C1",355.402,-0.301299999999999,0.470588235294118,26,9,1,1,1,2,1,1,2,7,1,9,5,1,1,2,4
"MAC_0440786","S(C1=CC(C(=O)O)=CC(NCCCC)=C1OC1=CC=CC=C1)(=O)(=O)N",364.423,3.0365,0.235294117647059,25,7,4,0,0,0,2,0,2,5,3,8,8,0,0,0,2
"MAC_0441040","C1(S(NCC2=CC3=C(OCO3)C=C2)(=O)=O)=CN(C)N=C1C(F)(F)F",363.317,1.6461,0.307692307692308,24,7,1,0,1,1,1,1,2,6,1,11,4,0,0,0,3
"MAC_0441150","C1(S(N2CCSCC2)(=O)=O)=C(Cl)SC(Cl)=C1Br",397.168,3.5549,0.5,17,3,0,0,1,1,0,1,1,4,0,9,2,0,1,1,2
"MAC_0443143","C1([N+]([O-])=O)=C(SC2=CC=C(C(C)(C)C)C=C2)N(C)C=N1",291.376,3.777,0.357142857142857,20,5,0,0,0,0,1,1,2,5,0,6,3,0,0,0,2
"MAC_0443448","C1(NC(=O)CCCC(=O)O)=C(C2=CC=CC=C2)C=CC=C1",283.327,3.547,0.176470588235294,21,4,2,0,0,0,2,0,2,2,2,4,6,0,0,0,2
"MAC_0445274","C(C(=O)N)(=CC1=CC=C(O)C=C1)C#N",188.186,0.78448,0,14,4,3,0,0,0,1,0,1,3,2,4,2,0,0,0,1
"MAC_0445633","C1(OC2=CC=C(OC(C(=O)OCCOCC)C)C=C2)=NC=C(Cl)C=C1Cl",400.258,4.5277,0.333333333333333,26,6,0,0,0,0,1,1,2,6,0,8,9,0,0,0,2
"MAC_0445782","C1(C(C2=CC=CC=C2I)=O)=CNC2=C1C=CC=C2",347.155,4.0035,0,18,2,1,0,0,0,2,1,3,1,1,3,2,0,0,0,3
"MAC_0445875","C1(C2=CC3=C(OCCO3)C=C2)=COC2=CC(O[C@H]3[C@@H](O)[C@H](O)[C@@H](O)[C@H](CO)O3)=CC=C2C1=O",458.419,0.4099,0.347826086956522,33,10,4,0,2,2,2,1,3,10,4,10,4,0,1,1,5
"MAC_0445893","C1([N+]([O-])=O)=CC([N+]([O-])=O)=CC=C1NC1=CC=C(N)C=C1",274.236,2.8288,0,20,8,3,0,0,0,2,0,2,6,2,8,4,0,0,0,2
"MAC_0446732","C1(C(=O)OCC)=C(NC=C2C(=O)CC(C3=CC=CS3)CC2=O)SC(C)=C1C",403.525,4.61474,0.35,27,5,1,1,0,1,0,2,2,7,1,7,5,1,0,1,3
"MAC_0448039","N(C1=C(F)C=C(F)C=C1)C(=O)C",171.146,1.9232,0.125,12,2,1,0,0,0,1,0,1,1,1,4,1,0,0,0,1
"MAC_0449116","C1(C(OCC(=O)C2=CC=CC=C2)=O)=CC=CC=C1NC1=CC=CC=C1F",349.361,4.609,0.0476190476190476,26,4,1,0,0,0,3,0,3,4,1,5,6,0,0,0,3
"MAC_0450102","[N+](C1=CC=C(SC2=CC=C(C)C=C2)C=C1)([O-])=O",245.303,4.05442,0.0769230769230769,17,3,0,0,0,0,2,0,2,3,0,4,3,0,0,0,2
"MAC_0450183","C1(C(F)(F)F)=NN=C(C2=CC=C(NC(=O)CC)C(C)=C2)O1",299.252,3.41232,0.307692307692308,21,5,1,0,0,0,1,1,2,4,1,8,3,0,0,0,2
"MAC_0450396","N1=C(CSC2=CC=CC=N2)C=CC=C1CSC1=NC=CC=C1",325.462,4.4562,0.117647058823529,22,3,0,0,0,0,0,3,3,5,0,5,6,0,0,0,3
"MAC_0450427","N1(CN2CCCCC2)C2=CC=C(Cl)C=C2C2=C1C=CC(Cl)=C2",333.262,5.5447,0.333333333333333,22,2,0,0,1,1,2,1,3,2,0,4,2,0,1,1,4
"MAC_0450438","C1(=C(C2=CC=CC=C2)NCCC)C(=O)N(C2=CC=CC=C2)C(=O)C1=O",334.375,2.5398,0.15,25,5,1,0,1,1,2,0,2,4,1,5,5,0,1,1,3
"MAC_0450497","C(=O)(C(N)CCCCC(=O)O)O",175.184,0.0432999999999996,0.714285714285714,12,5,4,0,0,0,0,0,0,3,3,5,6,0,0,0,0
"MAC_0450521","C(NC(=O)OCC)(C(F)(F)F)(C(F)(F)F)NC1=CC(C(=O)C)=CC=C1",372.265,3.8681,0.428571428571429,25,5,2,0,0,0,1,0,1,4,2,11,5,0,0,0,1
"MAC_0450577","C1([C@@H]2[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H](OC(=O)C)CO2)=NC2=C(S1)C=CC=C2",393.417,2.1627,0.444444444444444,27,8,0,0,1,1,1,1,2,9,0,9,4,0,1,1,3
"MAC_0450586","C1(=O)NC2CC3CC1CC(C2)C3",165.236,1.3111,0.9,12,2,1,2,2,4,0,0,0,1,1,2,0,2,2,4,4
"MAC_0450615","C1(OS(=O)(=O)C)=C(C2=CC=CC=C2)OC2=CC=CC=C2C1=O",316.334,2.7984,0.0625,22,5,0,0,0,0,2,1,3,5,0,6,3,0,0,0,3
"MAC_0451027","S(NC1=NC=CS1)(C1=CC=C(N=CC2=C(O)C=CC(Br)=C2)C=C1)(=O)=O",438.328,4.1626,0,25,6,2,0,0,0,2,1,3,6,2,9,5,0,0,0,3
"MAC_0451068","N1(CCC2=CC=CC=C2)C(=S)SC(=COCC)C1=O",293.413,2.9673,0.285714285714286,19,3,0,0,1,1,1,0,1,4,0,5,5,0,1,1,2
"MAC_0492997","N1([C@@H]2[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@@H](COC(=O)C)O[C@H]2OC(=O)C)C(=O)C2=C(C1=O)C=CC=C2",477.422,0.3657,0.454545454545455,34,12,0,0,2,2,1,0,1,11,0,12,6,0,1,1,3
"MAC_0493035","C1(C2=CC=CC=C2)=C(O)C2=CC=CC3=C2N(C1=O)CCC3",277.323,3.3203,0.166666666666667,21,3,1,0,1,1,2,1,3,3,1,3,1,0,0,0,4
"MAC_0493040","C1(C2=CC=CC=C2)=CC(=O)C2=CC=CC=C2O1",222.243,3.46,0,17,2,0,0,0,0,2,1,3,2,0,2,1,0,0,0,3
"MAC_0493045","C(C(F)(F)F)(NC(=O)C)(C(=O)OCC)NC1=CC=CC=C1",304.268,2.0563,0.384615384615385,21,5,2,0,0,0,1,0,1,4,2,8,5,0,0,0,1
"MAC_0493048","N1(C(=O)C)C([C@H]([C@@H]([C@@H]([C@@H](OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)SC(C)(C)[C@@H]1C(=O)O",563.578,0.429500000000002,0.695652173913043,38,14,1,0,1,1,0,0,0,13,1,15,11,0,1,1,1
"MAC_0493134","C12(C(=O)O)[C@@H](O)CC(C1)CC2",156.181,0.6221,0.875,11,3,2,2,0,2,0,0,0,2,2,3,1,2,0,2,2
"MAC_0493146","C12=C(C(=C(C#N)C#N)C3=CC([N+]([O-])=O)=CC=C13)C=C([N+]([O-])=O)C=C2C(NC(C)C)=O",403.354,3.47066,0.15,30,10,1,1,0,1,2,0,2,7,1,10,4,0,0,0,3
"MAC_0493152","N1(CC(CN2CCN(CC(CN3C4=C(C5=CC=CC=C35)C=CC=C4)O)CC2)O)C2=CC=CC=C2C2=C1C=CC=C2",532.688,4.942,0.294117647058824,40,6,2,0,1,1,4,2,6,6,2,6,8,0,1,1,7
"MAC_0493196","C1(OS(C2=CC=C(Br)C=C2)(=O)=O)=C(CC)C(=O)N(C)C2=CC=CC=C12",422.3,3.6311,0.166666666666667,25,5,0,0,0,0,2,1,3,5,0,7,4,0,0,0,3
"MAC_0493201","C(C(C1=C(C)C=CC=C1C)=O)=C(C(=O)O)O",220.224,2.01264,0.166666666666667,16,4,2,0,0,0,1,0,1,3,2,4,3,0,0,0,1
